username, created_at, lng, lat, text
mike_hardman, Wed Apr 22 06:18:46 +0000 2020, 100.695176, 13.624057, Another businessman upset that he's not going to benefit from Trump's CORRUPTION for much longer.Ohio COVID-19 rec… https://t.co/1Mr6T5HyIk
ewillis7, Wed Apr 22 06:18:57 +0000 2020, -79.857363, 36.090397, The Ugly American. And here we are. #trump
TheHoneyDrop, Wed Apr 22 06:18:58 +0000 2020, -73.968542, 40.780709, ...which we would not want to do, that we may Glory in all that God would lead us to.This so that our Predestinat… https://t.co/ngcHLRHVg7
MwahafarN, Wed Apr 22 06:19:04 +0000 2020, 17.835707, -11.207940, USA accounted for 2700+ deaths yesterday alone yet they’re still looking at reopening their economy? If they actual… https://t.co/rCP6YpuEjG
democraticbear, Wed Apr 22 06:19:07 +0000 2020, -80.084212, 26.617028, Pursuant to the actions of these Republicans, appears that finding death is their action of choice.#LockThemUp https://t.co/zyLrXSykZZ
lovettsusan62, Wed Apr 22 06:19:35 +0000 2020, -84.539813, 39.137038, @VFuska Vincent,I find the Democratic party are trying to impeach the President Trump So what we going to about it… https://t.co/AXd4kXX7aG
GingerSottile, Wed Apr 22 06:19:52 +0000 2020, -79.837322, 32.847947, #MoronInChief
mnsportsfan98, Wed Apr 22 06:20:18 +0000 2020, -93.361321, 46.441861, Love it!
Angiesnguyen, Wed Apr 22 06:20:21 +0000 2020, -118.130426, 33.937674, Just only tweet to president Trump  we always support to president Trump
Boro_Brick_Road, Wed Apr 22 06:20:49 +0000 2020, -1.536542, 54.486226, “What have you got to lose” said TrumpYour life says the research
ArizonaSage60, Wed Apr 22 06:20:54 +0000 2020, -112.124676, 33.552863, @JamesKnight777 Put them in candy dishes in every room Trump rents to the rubes.
Stvzbnk, Wed Apr 22 06:20:54 +0000 2020, -115.223125, 36.232915, @WhiteHouse @realDonaldTrump ...and thats a Deep Blue State. Trump Loves America.
RobBenjamin, Wed Apr 22 06:20:59 +0000 2020, -74.650744, 40.224863, @mikefarb1 I would not ordinarily think in such conspiratorial terms. But Trump acts like an increasingly cornered… https://t.co/i7cFxVnloQ
Aegethir, Wed Apr 22 06:21:06 +0000 2020, 7.159830, 46.803120, @Strandjunker Just like Trump is still president.
GabrielaxJM, Wed Apr 22 06:21:38 +0000 2020, -77.487526, -11.274179, @ladylestrange @XXOSkyXXO Bolsonaro is the Trump of Southamerica 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️
vara2009, Wed Apr 22 06:21:44 +0000 2020, 80.620488, 16.610865, Trump Says Coronavirus Cure Cannot ‘Be Worse Than the Problem Itself’
guy_ste, Wed Apr 22 06:21:47 +0000 2020, 6.133299, 49.815490, Präsidiale Wunder müssen wartenDonald Trump in Amerika und Emmanuel Macron in Frankreich haben früh auf Chloroquin… https://t.co/ASaXbJ8tb1
Nmenon777, Wed Apr 22 06:21:47 +0000 2020, 76.921313, 8.529236, @realDonaldTrump @GOP   @LindseyGrahamSC @senatemajldr Get him out now!#BloodOnHisHands
ewillis7, Wed Apr 22 06:21:50 +0000 2020, -79.857363, 36.090397, @JohnFugelsang Intuitively, we can surmise trump wasn’t an English major.
QuetaBauer, Wed Apr 22 06:22:00 +0000 2020, -87.732013, 41.833585, #MoscowMitch #McConnell #enabler has prolongued Trump’s so-called presidency by helping him get away with his crazi… https://t.co/VwSdhMwdfG
morininfo, Wed Apr 22 06:22:00 +0000 2020, -72.254845, 45.228290, QUÉBEC AU 6IÈME RANG en Amérique du nord! Avec 1,041 morts et une population de 8,480,000 d'habitants, soit 123 mor… https://t.co/i87SJYLs3u
Tony98Tony, Wed Apr 22 06:22:25 +0000 2020, -74.236746, 40.770982, 🛑https://t.co/4KUZbTC3mF *WASNT 4 DEMS PELOSI&amp;SCHUMER WHO'S MAKING DEALS&amp;RUNNING CIRCLE AROUND PUTIN PUPPET TRUMP.*… https://t.co/Zk9dT10BuQ
david_baer, Wed Apr 22 06:22:32 +0000 2020, -121.873730, 37.331159, @tlujan @aspiringinvntor @VibinWoosh @CyndiLeea GTFO with this nonsense. We are the makers dood, red states left to… https://t.co/wC5YK1g2AJ
LeeHarrington48, Wed Apr 22 06:22:41 +0000 2020, -118.359860, 33.758771, We all knew that. So what is next.,?  People wake up.
OneFierySoul, Wed Apr 22 06:22:43 +0000 2020, -83.963842, 35.982470, I’m seriously appalled that there are people like this in the beautiful state I live in...
saumen70, Wed Apr 22 06:22:54 +0000 2020, 88.502579, 22.563368, @realDonaldTrump President Trump will be having a White House press conference today at 5.30 P.M. Thank you!
levined57, Wed Apr 22 06:22:57 +0000 2020, -117.104989, 32.810012, After boasting how tests &amp; masks are "now available to everyone," Trump learns MD Gov. Larry Hogan had to buy 500,0… https://t.co/IMPxbNDkQX
